"RowID","State","Account length","Area code","International plan","Voice mail plan","Number vmail messages","Total day minutes","Total day calls","Total day charge","Total eve minutes","Total eve calls","Total eve charge","Total night minutes","Total night calls","Total night charge","Total intl minutes","Total intl calls","Total intl charge","Customer service calls","Churn","DayChargePerMinute","EveChargePerMinute","NightChargePerMinute","IntChargePerMinute","SampleFlag"
"1396","TN","127","415","false","true","28","235.6","124","40.05","236.8","113","20.13","241.2","127","10.85","7.7","2","2.08","1","false","0.169991511035654","0.0850084459459459","0.044983416252073","0.27012987012987","Training"
"1733","NY","99","415","false","false","0","182.6","83","31.04","154.5","111","13.13","196","57","8.82","12.1","5","3.27","0","false","0.169989047097481","0.0849838187702265","0.045","0.270247933884298","Training"
"1586","KS","93","415","false","false","0","266","120","45.22","130.1","84","11.06","165.8","63","7.46","13.1","6","3.54","3","false","0.17","0.0850115295926211","0.0449939686369119","0.270229007633588","Training"
"409","MS","118","415","false","true","26","170.8","114","29.04","199.5","125","16.96","169.7","98","7.64","9.6","5","2.59","5","true","0.170023419203747","0.0850125313283208","0.045020624631703","0.269791666666667","Training"
"2333","CT","107","408","false","false","0","90.7","90","15.42","207.5","109","17.64","169.4","96","7.62","5.6","5","1.51","2","false","0.170011025358324","0.0850120481927711","0.0449822904368359","0.269642857142857","Training"
"641","AK","156","510","false","false","0","123.7","96","21.03","103","80","8.76","189.4","82","8.52","13.1","4","3.54","1","false","0.170008084074373","0.0850485436893204","0.0449841605068638","0.270229007633588","Training"
"743","AL","200","408","false","false","0","128.2","87","21.79","133.2","105","11.32","177.6","123","7.99","11.2","2","3.02","1","false","0.16996879875195","0.084984984984985","0.0449887387387387","0.269642857142857","Training"
"96","NV","74","415","false","false","0","282.5","114","48.03","219.9","48","18.69","170","115","7.65","9.4","4","2.54","1","true","0.170017699115044","0.0849931787175989","0.045","0.270212765957447","Training"
"760","GA","58","408","false","false","0","165.4","100","28.12","115.7","87","9.83","193.8","118","8.72","12.8","5","3.46","2","false","0.170012091898428","0.0849611063094209","0.0449948400412797","0.2703125","Training"
"957","MS","126","415","false","false","0","228.7","102","38.88","168.7","99","14.34","223.5","100","10.06","11.8","4","3.19","1","false","0.170004372540446","0.0850029638411381","0.0450111856823266","0.270338983050847","Training"
"417","NM","87","415","false","false","0","168.2","92","28.59","224.7","100","19.1","169.5","99","7.63","12.9","3","3.48","1","false","0.169976218787158","0.0850022251891411","0.0450147492625369","0.269767441860465","Training"
"2288","NJ","108","415","false","true","41","171.6","110","29.17","136.1","78","11.57","183.4","103","8.25","10.8","7","2.92","0","false","0.169988344988345","0.0850110213078619","0.0449836423118866","0.27037037037037","Training"
"776","OR","161","415","false","false","0","105.4","70","17.92","214.8","122","18.26","223.6","126","10.06","7.8","5","2.11","0","false","0.170018975332068","0.0850093109869646","0.0449910554561717","0.27051282051282","Training"
"2189","WV","137","510","false","true","50","186.5","94","31.71","178","106","15.13","215.6","100","9.7","12.1","4","3.27","2","false","0.170026809651475","0.085","0.0449907235621521","0.270247933884298","Training"
"1645","NJ","113","415","false","false","0","186","55","31.62","237.4","105","20.18","148.1","83","6.66","12.2","6","3.29","1","false","0.17","0.0850042122999158","0.0449696151249156","0.269672131147541","Training"
"1677","MA","71","510","false","false","0","290.4","108","49.37","253.9","92","21.58","263.3","126","11.85","10.1","5","2.73","3","true","0.170006887052342","0.0849940921622686","0.0450056969236612","0.27029702970297","Training"
"2360","IL","98","510","true","false","0","158.4","71","26.93","306.6","66","26.06","144.2","93","6.49","2.1","4","0.57","1","false","0.170012626262626","0.0849967384213959","0.0450069348127601","0.271428571428571","Training"
